fecha,Consumo,desempleo,Consumo_sa,desempleo_sa
2023-01-01,2.7044186037983255,8.04,2.679452393314943,8.458874947390571
2023-02-01,2.784194314117242,8.37,2.7141603933091334,8.64505234638047
2023-03-01,2.7034525221264314,8.81,2.689182448965814,8.85668113425926
2023-04-01,2.770541782950336,8.66,2.7457680137323015,8.681756891835017
2023-05-01,2.783162456635762,8.52,2.7335320427090926,8.236491740319865
2023-06-01,2.688657636823218,8.53,2.649055203483117,8.19759022516835
2023-07-01,2.746290349242001,8.77,2.7248328888617244,8.350506891835016
2023-08-01,2.699086193658373,9.0,2.761098203538887,8.669559922138047
2023-09-01,2.759937437465633,8.91,2.8194315887669923,8.711791614057239
2023-10-01,2.819918101845422,8.89,2.884807009364625,8.891513836279461
2023-11-01,2.8702476678445197,8.73,2.9178644119699215,9.025368002946127
2023-12-01,2.8896547513774595,8.48,2.900377219868171,8.984812447390572
2024-01-01,2.9905354777613646,8.44,2.965569267277982,8.858874947390571
2024-02-01,3.0377706010829626,8.5,2.967736680274854,8.775052346380471
2024-03-01,2.942630017385439,8.68,2.928359944224822,8.726681134259259
2024-04-01,2.8236500174682035,8.52,2.7988762482501692,8.541756891835016
2024-05-01,2.7670141216881015,8.31,2.717383707761432,8.026491740319866
2024-06-01,2.782291311584048,8.35,2.7426888782439476,8.01759022516835
2024-07-01,2.694276829218293,8.68,2.672819368838016,8.260506891835016
2024-08-01,2.605037880327415,8.9,2.6670498902079287,8.569559922138048
2024-09-01,2.649275043853247,8.74,2.7087691951546065,8.541791614057239
2024-10-01,2.53767911654507,8.58,2.602568024064273,8.581513836279461
2024-11-01,2.517936577624265,8.22,2.565553321749667,8.51536800294613
2024-12-01,2.4905862229762383,8.08,2.50130869146695,8.584812447390572
2025-01-01,2.3999548103409216,8.02,2.374988599857539,8.438874947390572
2025-02-01,2.473404327834846,8.38,2.4033704070267374,8.655052346380472
2025-03-01,2.414710466145205,8.71,2.4004403929845877,8.75668113425926
2025-04-01,2.394711293853382,8.84,2.369937524635348,8.861756891835016
2025-05-01,2.421153202646121,8.94,2.3715227887194517,8.656491740319865
2025-06-01,2.4274155710643996,8.89,2.387813137724299,8.55759022516835
2025-07-01,2.3990125907635704,8.7,2.3775551303832936,8.280506891835016
2025-08-01,2.400468016302356,8.56,2.46248002618287,8.229559922138048
2025-09-01,2.483696643331976,8.53,2.543190794633335,8.331791614057238
2025-10-01,2.465452662061549,8.45,2.5303415695807523,8.45151383627946
2025-11-01,2.540849170914146,8.42,2.588465915039548,8.715368002946128
2025-12-01,2.6216263171416854,8.05,2.632348785632397,8.554812447390573
2026-01-01,2.579597834126006,8.28,2.5546316236426234,8.698874947390571
2026-02-01,2.599583128908662,8.33,2.5295492081005535,8.605052346380472
2026-03-01,2.446283172228788,8.93,2.4320130990681705,8.976681134259259
2026-04-01,2.442724838465369,9.11,2.4179510692473345,9.131756891835016
2026-05-01,2.537496965074024,9.44,2.4878665511473543,9.156491740319865
2026-06-01,2.4972328030246898,9.44,2.457630369684589,9.10759022516835
2026-07-01,2.390130304492385,9.53,2.3686728441121083,9.110506891835016
